Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB);Downloads;Rating;Rating Count
_AppLauncher - Evolve Launcher;_AppLauncher - Evolve Launcher v11959+1.1.9 -OpenSource;com.jarjarblinkz.EvolveLauncher;11959;2024-03-20 18:56 UTC;9;95.70;0;0
_AppLauncher - LightningLauncher;_AppLauncher - LightningLauncher v810+8.1.0 -OpenSource;com.threethan.launcher;810;2024-10-20 09:25 UTC;6;95.94;0;0
_Utility - File Explorer;_Utility - File Explorer v631+6.3 -OpenSource;com.marc.files;631;2024-04-26 14:29 UTC;0;89.93;0;0
_Utility - Shizuku;_Utility - Shizuku v1049+13.5.4.r1049.0e53409 -OpenSource;moe.shizuku.privileged.api;1049;2024-09-25 21:03 UTC;3;85.14;0;0
_Utility - Wireless ADB;_Utility - Wireless ADB v1+1.2 -OpenSource;tdg.oculuswirelessadb;1;2024-06-26 21:45 UTC;14;89.85;0;0
_Utility - XR Native Android File Manager;_Utility - XR Native Android File Manager v1+1.0.0 -OpenSource;com.anagan.xrnativeandroidfilemanager;1;2024-07-01 14:51 UTC;1;89.08;0;0
_Utility - XR Native Android Settings;_Utility - XR Native Android Settings v1+1.0.0 -OpenSource;com.anagan.xrnativeandroidsettings;1;2024-07-01 14:51 UTC;1;88.19;0;0
10 Seconds;10 Seconds v3+1.0 -VRP v76;com.ZynkSoftware.SecondsMatter;3;2025-04-29 20:46 UTC;107;94.15;0;0
100 Day Siege;100 Day Siege v13+0.1.3 -VRP v76;com.foundrysix.siege.metaquest;13;2025-05-01 16:21 UTC;715;87.01;0;0
17 Seconds;17 Seconds v2+1.0 -VRP;com.xsgames.seventeenseconds;2;2025-09-21 18:43 UTC;83;90.09;0;0
1976;1976 v18+1.34 -VRP v76;com.IvanovichGames.game1976;18;2025-05-01 16:21 UTC;931;88.14;0;0
2048 World;2048 World v1+0.1 -VRP v76;com.DonCarrot.World2024;1;2025-08-02 08:14 UTC;0;86.11;0;0
2048 World (MR-Fix);2048 World (MR-Fix) v1+0.1 -VRP v76;com.mrf.DonCarrot.World2024;1;2025-08-02 08:14 UTC;74;86.72;0;0
2076 Midway Multiverse;2076 Midway Multiverse v40+1.5 -VRP v76;com.IvanovichGames.game2076demo;40;2025-05-01 16:21 UTC;4337;87.17;0;0
2MD- VR Football Unleashed ALLSTAR;2MD- VR Football Unleashed ALLSTAR v300027+1.8 -VRP v76;com.truantpixel.twomdquest;300027;2025-05-01 16:21 UTC;2120;76.29;0;0
4XVR Video Player;4XVR Video Player v11002+1.10.2 -VRP;cn.vr4p.oculus4xvrplayerov;11002;2025-11-15 18:36 UTC;339;96.43;0;0
4XVR Video Player (Trial Bypass);4XVR Video Player (Trial Bypass) v11002+1.10.2 -VRP;cn.vr4p.oculus4xvrplayerov;11002;2025-11-15 18:36 UTC;339;96.43;0;0
51 Aliens TV;51 Aliens TV v6+0.51 -VRP v76;com.fiftyonealiens.fiftyonealienstvquest;6;2025-05-01 16:21 UTC;356;63.82;0;0
8 Ball Pool;8 Ball Pool v20+1.0 -VRP v76;com.sharpforkslabs.billiards;20;2025-05-26 13:00 UTC;170;91.15;0;0
9 Ball Pool VRX;9 Ball Pool VRX v1+1.0.0 -VRP v76;com.abstron.nine.ball.pool.vrx;1;2025-05-01 16:21 UTC;55;82.99;0;0
99 DROPS;99 DROPS v89+1.0.089 -VRP;com.UNIVRS.Faye;89;2025-08-23 19:41 UTC;529;70.44;0;0
A Fishermans Tale;A Fishermans Tale v25+1.087 -VRP v76;com.innerspacevr.afishermanstale;25;2025-05-03 19:30 UTC;2268;87.09;0;0
A Fishermans Tale 2;A Fishermans Tale 2 v59+1.086 -VRP v76;com.innerspacevr.theseus;59;2025-05-02 11:34 UTC;2697;84.90;0;0
A Knight in the Attic;A Knight in the Attic v119+.119 -VRP v76;com.MightyYellStudios.WobblyKnightMaster;119;2025-05-02 11:34 UTC;264;64.11;0;0
A little journey;A little journey v200006+1 -VRP v76;com.EGames.Alittlejourney;200006;2025-05-02 11:37 UTC;737;65.16;0;0
A Long Survive;A Long Survive v4816+1.0.4816 -VRP;com.FriendlyFireStudios.ALongSurvive;4816;2025-12-01 22:35 UTC;1403;85.30;0;0
A Lullaby of Colors;A Lullaby of Colors v1+1.2.2 -VRP v76;com.idumpling.a_lullaby_of_colors;1;2025-05-02 11:36 UTC;149;65.00;0;0
A lunar adventure;A lunar adventure v22+1.0 -VRP v76;com.pyromobile.moon;22;2025-05-02 11:37 UTC;144;66.02;0;0
A Persistent Illusion;A Persistent Illusion v36+2.3.6 -VRP;com.Ryanupinhere.APersistentIllusion;36;2025-11-24 22:05 UTC;221;79.33;0;0
A Rogue Escape;A Rogue Escape v104+1.0 -VRP v76;com.armorgames.nauticrawlVR;104;2025-05-02 11:37 UTC;1137;66.38;0;0
A102;A102 v54+1.0.4 -VRP v76;red.chesco.a102;54;2025-05-02 11:37 UTC;1144;39.55;0;0
AAA Driver;AAA Driver v8+0.6 -VRP v76;com.cosmolab.realracer;8;2025-06-11 21:19 UTC;827;70.60;0;0
Accounting+;Accounting+ v35+1.24.35 -VRP v76;com.crowscrowscrows.AccountingPlus;35;2025-05-02 11:38 UTC;812;81.53;0;0
Acorn Assault VR- The Ride;Acorn Assault VR- The Ride v20+1.1.16 -VRP v74;com.hightalestudios.aavrride;20;2025-06-22 09:06 UTC;65;66.50;0;0
Acoustic Guitar;Acoustic Guitar v2+1 -VRP;com.vlura.acousticguitar;2;2025-09-25 10:58 UTC;165;78.56;0;0
Acron- Attack of the Squirrels!;Acron- Attack of the Squirrels! v119009107+1.19.0.9107-release -VRP;com.resolutiongames.codenamelazarus;119009107;2025-11-21 09:57 UTC;227;91.96;0;0
Across the Valley;Across the Valley v32+1.2.1.4044 -VRP;com.fusionplay.acrossTheValley;32;2025-10-08 14:11 UTC;296;58.83;0;0
